ticker,entry_date,exit_date,regime,pnl,return,position_size,entry_price,exit_price,crisis_day_num,holding_days
TT,2015-08-27,2015-09-01,Crisis,-10.08,-0.036263,277.97,43.429,41.8542,0,5
DVN,2015-08-27,2015-09-01,Crisis,3.27,0.044507,73.47,39.32,41.07,0,5
KKR,2015-08-27,2015-08-31,Crisis,-13.08,-0.03,435.88,20.0,19.4,0,4
CL,2015-08-27,2015-09-01,Crisis,-3.61,-0.01534,235.07,62.58,61.62,0,5
FDX,2015-09-02,2015-09-08,Crisis,3.58,0.021933,163.25,150.0,153.29,0,6
MDLZ,2015-09-02,2015-09-08,Crisis,7.91,0.035956,220.03,41.44,42.93,0,6
SRE,2015-09-02,2015-09-08,Crisis,-0.69,-0.002361,289.61,46.585,46.475,0,6
OMC,2015-09-02,2015-09-08,Crisis,5.7,0.030904,184.47,66.01,68.05,0,6
TT,2015-09-02,2015-09-04,Crisis,-10.19,-0.02,509.31,42.2188,41.3744,0,2
KKR,2015-09-02,2015-09-04,Crisis,-6.75,-0.02,337.45,18.91,18.5318,0,2
CMCSA,2015-09-02,2015-09-08,Crisis,3.34,0.020368,164.06,26.2277,26.7619,0,6
O,2018-02-06,2018-02-08,Crisis,-10.13,-0.018489,547.85,48.2171,47.3256,0,2
CTAS,2018-02-06,2018-02-08,Crisis,-4.45,-0.03,148.38,38.605,37.4468,0,2
GE,2018-02-06,2018-02-09,Crisis,0.41,0.008097,50.31,71.0239,71.599,0,3
FDX,2018-02-06,2018-02-09,Crisis,-1.56,-0.03731,41.71,244.44,235.32,0,3
SPG,2018-02-06,2018-02-09,Crisis,1.55,0.01972,78.84,154.16,157.2,0,3
WM,2018-02-06,2018-02-09,Crisis,-0.38,-0.010011,38.09,80.91,80.1,0,3
APD,2018-02-06,2018-02-09,Crisis,1.13,0.024231,46.51,154.35,158.09,0,3
GIS,2018-02-06,2018-02-09,Crisis,1.02,0.022995,44.28,53.49,54.72,0,3
V,2018-02-06,2018-02-09,Crisis,0.33,0.009722,33.49,115.2,116.32,0,3
EMR,2018-02-09,2018-02-14,Crisis,2.69,0.056444,47.69,67.5,71.31,0,5
XEL,2018-02-09,2018-02-14,Crisis,1.57,0.016702,94.17,42.51,43.22,0,5
SRE,2018-02-09,2018-02-14,Crisis,1.58,0.016774,94.17,51.865,52.735,0,5
O,2018-02-09,2018-02-14,Crisis,0.43,0.004805,89.8,46.3857,46.6085,0,5
BKR,2018-02-09,2018-02-12,Crisis,-16.05,-0.03,535.04,27.67,26.8399,0,3
EQT,2018-02-09,2018-02-14,Crisis,1.9,0.044124,42.96,25.2912,26.4072,0,5
CL,2018-12-27,2019-01-02,Crisis,2.76,0.004407,627.18,58.99,59.25,0,6
HD,2018-12-27,2019-01-02,Crisis,12.61,0.035869,351.61,166.44,172.41,0,6
JCI,2018-12-27,2019-01-02,Crisis,15.69,0.039891,393.38,29.33,30.5,0,6
CTAS,2018-12-27,2019-01-02,Crisis,10.94,0.035039,312.17,40.455,41.8725,0,6
SLB,2018-12-27,2018-12-31,Crisis,-19.75,-0.02,987.18,36.1,35.378,0,4
NOC,2018-12-27,2019-01-02,Crisis,27.55,0.066306,415.45,231.05,246.37,0,6
KEY,2018-12-27,2019-01-02,Crisis,15.49,0.044506,348.05,14.38,15.02,0,6
