date,equity,cash,invested,n_positions,regime,crisis_consecutive_days
2018-01-02,100000.0,100000.0,0.0,0,Bull,0
2018-01-03,100000.0,100000.0,0.0,0,Bull,0
2018-01-04,100000.0,100000.0,0.0,0,Bull,0
2018-01-05,100000.0,100000.0,0.0,0,Bull,0
2018-01-08,100000.0,100000.0,0.0,0,Bull,0
2018-01-09,99685.47,23344.93,76340.54,7,Bull,0
2018-01-10,99608.11,33790.02,65818.09,5,Bull,0
2018-01-11,100328.21,33790.02,66538.2,5,Bull,0
2018-01-12,100810.02,33790.02,67020.0,5,Bull,0
2018-01-16,100626.43,33790.02,66836.41,5,Bull,0
2018-01-17,101664.19,51683.91,49980.27,6,Bull,0
2018-01-18,101793.65,51683.91,50109.74,6,Bull,0
2018-01-19,101859.76,51683.91,50175.85,6,Bull,0
2018-01-22,101834.3,67092.25,34742.05,5,Bull,0
2018-01-23,102247.86,67092.25,35155.62,5,Bull,0
2018-01-24,101616.42,4113.26,97503.16,7,Bull,0
2018-01-25,102087.55,4113.26,97974.28,7,Bull,0
2018-01-26,104567.0,7958.07,96608.93,7,Bull,0
2018-01-29,103523.25,21720.34,81802.9,7,Bull,0
2018-01-30,102060.86,54265.25,47795.61,6,Bull,0
2018-01-31,100541.43,77118.29,23423.14,3,Bull,0
2018-02-01,100583.02,100583.02,0.0,0,Bull,0
2018-02-02,100583.02,100583.02,0.0,0,Bull,0
2018-02-05,100583.02,100583.02,0.0,0,Crisis,1
2018-02-06,100583.02,100583.02,0.0,0,Bull,0
2018-02-07,100596.52,98714.15,1882.37,2,Bull,0
2018-02-08,100555.9,100555.9,0.0,0,Crisis,1
2018-02-09,100555.9,100555.9,0.0,0,Bull,0
2018-02-12,100555.9,100555.9,0.0,0,Bull,0
2018-02-13,100555.9,100555.9,0.0,0,Bull,0
2018-02-14,100606.37,100172.69,433.68,1,Bull,0
2018-02-15,100608.48,100486.12,122.36,1,Bull,0
2018-02-16,100608.49,100573.66,34.83,1,Bull,0
2018-02-20,100608.08,100598.11,9.97,1,Bull,0
2018-02-21,100608.01,100605.11,2.9,1,Bull,0
2018-02-22,100595.07,99578.92,1016.15,2,Bull,0
2018-02-23,100608.53,100309.56,298.97,2,Bull,0
2018-02-26,100614.43,100524.94,89.49,2,Bull,0
2018-02-27,100614.33,100588.03,26.3,2,Bull,0
2018-02-28,100614.02,100606.29,7.73,2,Bull,0
2018-03-01,100553.98,99528.28,1025.7,2,Bull,0
2018-03-02,100540.45,100540.45,0.0,0,Bull,0
2018-03-05,100540.45,100540.45,0.0,0,Bull,0
2018-03-06,100540.45,100540.45,0.0,0,Bull,0
2018-03-07,100540.45,100540.45,0.0,0,Bull,0
