
=================================================================
  ML ENSEMBLE CONFIGURATION (4 models)
=================================================================
  - logisticregression.pkl         | Weight: 0.25 | Type: classifier
  - xgbclassifier.pkl              | Weight: 0.25 | Type: classifier
  - ridge.pkl                      | Weight: 0.25 | Type: regressor
  - xgbregressor.pkl               | Weight: 0.25 | Type: regressor
=================================================================


=================================================================
  Trend Signal Engine — Quant Research Backtester
=================================================================
  Period        : 2024-01-01  →  2026-03-31
  Tickers       : 300
  Capital       : $100,000
  Max Positions : 10
  Holding       : 5 days
  Slippage      : 1.0 bps
  Commission    : $1.00 / trade
  Min |Signal|  : 0.01
  Signal Mode   : Single ML model
  Shorts        : ON
  Regime        : ON
  Sector Cap    : OFF
  Cross-section : TOP_LONGS=5  TOP_SHORTS=5  market_neutral=True
  Risk          : sizing=equal, max_pos=12%, stop=-3.0%
=================================================================


Pre-loading benchmarks (SPY, ^VIX, ^VIX3M) using Tiingo…
  [1/300] NVDA… [1/300] NVDA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [2/300] TSLA… [2/300] TSLA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [3/300] MU… [3/300] MU OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [4/300] MSFT… [4/300] MSFT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [5/300] SNDK… [5/300] SNDK OHLCV window: first_date=2025-02-13, last_date=2026-04-01, n=284
  [6/300] AAPL… [6/300] AAPL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [7/300] AVGO… [7/300] AVGO OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [8/300] AMZN… [8/300] AMZN OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [9/300] GOOGL… [9/300] GOOGL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [10/300] META… [10/300] META OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [11/300] PLTR… [11/300] PLTR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [12/300] AMD… [12/300] AMD OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [13/300] GOOG… [13/300] GOOG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [14/300] LITE… [14/300] LITE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [15/300] NFLX… [15/300] NFLX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [16/300] ORCL… [16/300] ORCL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [17/300] INTC… [17/300] INTC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [18/300] XOM… [18/300] XOM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [19/300] JPM… [19/300] JPM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [20/300] VRT… [20/300] VRT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [21/300] CVX… [21/300] CVX OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [22/300] CRM… [22/300] CRM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
