ticker,signal,direction,signal_date,entry_date,exit_date,planned_exit_date,actual_exit_date,entry_price,exit_price,position_size,shares,return,pnl,adjusted_score,confidence,regime,entry_cost,exit_cost,total_cost,impact_entry_cost,gross_return,net_return,holding_days,planned_holding_days,actual_holding_days,exit_reason
AMD,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,12.0,11.64,4250.0,354.1665,-0.03,-127.51,0.5602,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,1,3,1,stop_loss
INTC,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,44.7,43.359,6518.13,145.8195,-0.03,-195.56,0.4053,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030002,1,3,1,stop_loss
ORCL,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,49.25,50.27,12672.99,257.3197,0.020711,262.42,0.6704,Medium,Bull,0.05,0.0,0.05,0.05,0.020711,0.020707,8,3,8,expiry
CRM,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,109.0,110.04,9564.96,87.752,0.009541,91.21,-0.4752,High,Bull,0.05,0.0,0.05,0.05,0.009541,0.009536,8,3,8,expiry
ABBV,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,99.49,104.36,7037.14,70.7321,0.04895,344.44,-0.4219,High,Bull,0.03,0.0,0.03,0.03,0.04895,0.048945,8,3,8,expiry
PFE,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,34.5731,35.2751,15361.54,444.3211,0.020307,311.87,0.4187,High,Bull,0.08,0.0,0.08,0.08,0.020307,0.020302,8,3,8,expiry
CVX,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,128.43,132.36,21249.95,165.4594,0.0306,650.13,-0.1972,High,Bull,0.12,0.0,0.12,0.12,0.0306,0.030595,8,3,8,expiry
GOOG,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,56.311,58.212,7360.81,130.7171,0.033759,248.47,-0.2874,High,Bull,0.02,0.0,0.02,0.02,0.033759,0.033756,7,5,7,expiry
AMD,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,11.9,12.71,4306.82,361.9178,0.068067,293.14,0.52,Low,Bull,0.01,0.0,0.01,0.01,0.068067,0.068064,7,5,7,expiry
MSFT,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,89.08,91.82,6220.87,69.8347,0.030759,191.33,-0.332,High,Bull,0.01,0.0,0.01,0.01,0.030759,0.030757,7,5,7,expiry
