ticker,score,date,executed
NVDA,1.572936317971842,2024-01-15,False
META,1.0808332054709695,2024-01-15,False
LLY,1.0148183251556588,2024-01-15,False
ADBE,0.8244295487875677,2024-01-15,False
NKE,0.7195146648681111,2024-01-15,False
INTC,0.692869946887973,2024-01-15,False
CRM,0.6403571740315154,2024-01-15,False
PFE,0.599794181565747,2024-01-15,False
ORCL,0.5838236473189841,2024-01-15,False
AVGO,0.5603531703803848,2024-01-15,False
AMZN,0.5196522534075987,2024-01-15,False
AMD,0.5060963387910099,2024-01-15,False
COST,0.4621627324774267,2024-01-15,False
JNJ,0.2956692481788418,2024-01-15,False
XOM,0.2801224747750928,2024-01-15,False
AAPL,0.2047144455118965,2024-01-15,False
BAC,0.1815834276337754,2024-01-15,False
CVX,0.1668525876486517,2024-01-15,False
GOOG,0.0662487841469466,2024-01-15,False
WMT,0.0658301709045982,2024-01-15,False
MSFT,0.0455839841192454,2024-01-15,False
UNH,0.0445370980716671,2024-01-15,False
ABBV,0.0285005907551522,2024-01-15,False
JPM,-0.0762927975531526,2024-01-15,False
INTC,1.4756754442892972,2026-03-24,True
AMD,1.406708359031625,2026-03-24,True
AVGO,1.4028451328629647,2026-03-24,True
UNH,1.246374108130019,2026-03-24,True
ORCL,1.0488017402064294,2026-03-24,True
AMZN,0.845695508198703,2026-03-24,True
NVDA,0.8233420096459971,2026-03-24,True
NKE,0.8114872669345506,2026-03-24,True
GOOG,0.691037541415882,2026-03-24,True
BAC,0.6500938640494335,2026-03-24,True
MSFT,0.5642760885442324,2026-03-24,False
META,0.5291268945836826,2026-03-24,False
LLY,0.4789612110776913,2026-03-24,False
JPM,0.4761373076222766,2026-03-24,False
AAPL,0.4315874599981611,2026-03-24,False
CRM,0.2719898129226233,2026-03-24,False
WMT,0.1946174164097899,2026-03-24,False
CVX,0.1617952763900805,2026-03-24,False
XOM,0.1516337328922537,2026-03-24,False
PFE,0.1063280320595866,2026-03-24,False
ABBV,0.100995662885841,2026-03-24,False
ADBE,-0.3114115119661663,2026-03-24,False
COST,-0.3207219065904044,2026-03-24,False
JNJ,-0.7869492974311197,2026-03-24,False
GLW,1.7529082811498626,2026-03-25,False
MU,1.5861395720488192,2026-03-25,False
COHR,1.5762253739654195,2026-03-25,False
LRCX,1.4041626785674908,2026-03-25,False
CNC,1.322764556073177,2026-03-25,False
PSKY,1.2802755305107631,2026-03-25,False
MRNA,1.086582113242341,2026-03-25,False
VRT,1.0386508924136626,2026-03-25,False
AMAT,1.0121959910325244,2026-03-25,False
LUV,1.011246835264098,2026-03-25,False
NEM,1.004592827220072,2026-03-25,False
TTD,0.9776268897728458,2026-03-25,False
ON,0.9775120905102944,2026-03-25,False
UAL,0.9670806710704116,2026-03-25,False
INTC,0.9643316452439676,2026-03-25,False
AES,0.9185426679228011,2026-03-25,False
APH,0.9173620326612928,2026-03-25,False
SATS,0.9136739625260633,2026-03-25,False
FCX,0.898693846487159,2026-03-25,False
WDC,0.8612345143323549,2026-03-25,False
