model_name,model_kind,oos_sharpe_mean,oos_sharpe_std,oos_ic_mean,oos_ic_std,oos_dir_acc_mean,oos_dir_acc_std,oos_sharpe_chained,oos_cagr_chained,oos_max_dd,oos_win_rate,oos_ic_chained,oos_ic_ir,oos_ic_tstat,oos_calmar,oos_beat_rate,oos_composite,train_time_avg,test_time_avg,n_windows,oos_psr,leakage_suspect,oos_composite_dsr,_selection_metric
XGBRankIC,regressor,1.765017292988687,1.669010322843436,0.025043190919570177,0.023292043886812646,0.5636540659785637,0.046558906344882973,1.1828303777171814,9.76801003192822,-0.9938194579718592,0.6256206554121152,0.040238018671012246,0.9812405343585747,2.7753673432802386,9.828757078134014,0.75,7.9692115363405645,4.6778389164828695,0.04106881750340108,8,1.0,False,7.9692,1.1828303777171814
XGBRegressor,regressor,1.6064136101391702,1.5160213582633093,0.07840551418207539,0.03835957211187417,0.559619610069715,0.04234287327950525,1.1803040302453165,14.584866032307417,-0.9983674561491559,0.5968222442899702,0.08198892842780917,1.9563599788371548,5.533421629910891,10.0,0.75,16.139969825406528,3.1476348281430546,0.05018756251956802,8,1.0,False,16.14,1.1803040302453165
XGBClassifier,classifier,1.6422542197613297,1.7856638364162125,0.04515958816101242,0.05642842286748418,0.5636144930399631,0.04657234516215056,1.034805201070809,3.3965115001134656,-0.9783456010143669,0.6062562065541212,0.0036842311324965654,0.7439338227209684,2.104162603200111,3.4716888353071753,0.5,1.6633202846343709,0.5930399896169547,0.007195171638159081,8,1.0,False,1.6633,1.034805201070809
XGBSharpeIC,regressor,1.6221579757665623,1.6694880508201948,0.052763076413853416,0.03665552069057931,0.5636540659785637,0.046558906344882973,1.0256947718886154,5.793340648742133,-0.993706729134107,0.599304865938431,0.01183774227115574,1.3480534482343398,3.812870938593641,5.83003061053065,0.625,5.75452894754496,4.4315675311372615,0.03827328137413133,8,1.0,False,5.7545,1.0256947718886154
GradientBoostingClassifier,classifier,1.7133480436085677,1.8276516969852743,0.04377543015291933,0.054604751629599,0.5636239308643713,0.046605307505186114,0.9455401938470457,2.818252544786566,-0.9885666539286991,0.6186693147964251,0.003454275237075739,0.7471350409755595,2.1132170157436287,2.8508472682003227,0.5,1.4385514657587348,204.7560859216319,0.024478213395923376,8,1.0,False,1.4386,0.9455401938470457
Ridge,regressor,1.4458056206817391,1.7290155143552475,0.08227220868767084,0.040797187955105466,0.5586208863303407,0.04149919518281589,0.9413077637400389,6.8434378027741385,-0.9999067742839419,0.6022840119165839,0.0767602075899829,1.9512456078498461,5.518956004284373,6.844075846645698,0.75,11.479288907556361,0.49815035426581744,0.005659713482600637,8,1.0,False,11.4793,0.9413077637400389
ShortXGB,short_classifier,1.5527025035544093,1.5617260188484074,-0.03801536442731347,0.039206167851604086,0.5154343104555893,0.023262002032210703,0.9141466933572362,1.9972141639270404,-0.974049527265768,0.6142005958291956,-0.04680438118188551,-0.9599207206465875,-2.7150658038827187,2.050423626335895,0.125,-0.36602060570871614,0.38766678649699315,0.005697338754544035,8,1.0,False,-0.366,0.9141466933572362
RidgeLogistic,classifier,1.2915995733935801,1.6290436749720054,0.057218697617185725,0.055323381876104034,0.5628448092404316,0.045240487902760446,0.8742805626370435,2.716437896207078,-0.9978195363600133,0.5968222442899702,0.020468573334119024,0.9625030007227736,2.7223695948938946,2.7223739335837047,0.625,2.2392475505540936,0.7051919219957199,0.005263515529804863,8,1.0,False,2.2392,0.8742805626370435
LogisticRegression,classifier,1.2965585137949664,1.6429204097629913,0.05623053923022416,0.05616536217131924,0.5628418501260383,0.04525620801346934,0.8706723401581228,2.693667115037038,-0.9978179448823918,0.5973187686196624,0.018645285350825602,0.931150753206483,2.6336920475970618,2.699557698728828,0.625,2.1530287110638695,0.6864190262422198,0.009786781156435609,8,1.0,False,2.153,0.8706723401581228
LGBMRanker,regressor,1.4941265031192532,1.715743984125551,0.05983275473025337,0.046200372480322036,0.4632493846783404,0.03914153742359468,0.8674949255918886,5.714769462519416,-0.9994163381138556,0.5744786494538232,0.060040135391003946,1.2386843936857082,3.5035285381004457,5.718106903579935,0.75,6.241210632432512,5.211857265516301,0.06519757797650527,8,1.0,False,6.2412,0.8674949255918886
ShortLogistic,short_classifier,0.8903964800826837,1.6463501022956883,0.008529821128188552,0.04920084564276089,0.5119993028033076,0.03176219956745088,0.8114781568078884,2.6646442857424057,-0.9878235397947451,0.5700099304865939,0.0134533443963463,0.10509856093933244,0.2972636205325983,2.6974901674200624,0.125,0.048575111960397495,0.4222747551393695,0.0062981458904687315,8,1.0,False,0.0486,0.8114781568078884
RandomForestClassifier,classifier,1.3944870054941387,1.6324713940920048,0.03983702152861102,0.04684476305894109,0.5636549573177866,0.04655756319727116,0.6183760978528834,1.306802985664135,-0.9971641206724569,0.5968222442899702,0.008600940161536836,0.8040882630962786,2.274305054031565,1.3105194607111086,0.75,1.3933961850100092,5.868632468613214,0.03097361976688262,8,1.0,False,1.3934,0.6183760978528834
