date,ticker,position_type,position_size,signal_score,rank_weight
2018-01-02,AMD,long,50000.0,0.21558960000000002,1.0
2018-01-02,META,short,50000.0,-0.16929360000000002,1.0
2018-01-03,ADBE,long,99427.68,-0.1562676,1.0
2018-01-04,AVGO,long,104924.6,0.22541759999999997,1.0
2018-01-08,NVDA,short,107324.24,-0.2559144,1.0
2018-01-10,AMD,long,102903.39,0.5409216,1.0
2018-01-11,ADBE,short,104355.67,-0.4019256,1.0
2018-01-16,AMD,long,102397.44,0.8616312,1.0
2018-01-17,AMD,long,104696.23,0.45532680000000003,1.0
2018-01-19,META,long,108124.41,0.414264,1.0
2018-02-01,MSFT,short,111060.98,-0.2583972,1.0
2018-02-02,ADBE,long,55530.49,0.1857744,1.0
2018-02-02,META,short,55530.49,0.1748688,1.0
2018-02-06,GOOG,long,54100.62,0.2069616,1.0
2018-02-06,AVGO,short,54100.62,-0.16806000000000001,1.0
2018-02-12,NVDA,short,105415.91,-0.5201087999999999,1.0
2018-02-13,AVGO,long,52707.95,0.3623976,1.0
2018-02-13,AMD,short,52707.95,-0.42842279999999994,1.0
2018-02-20,GOOG,short,107319.87,-0.1894716,1.0
2018-02-21,META,short,106893.99,-0.26741279999999995,1.0
2018-02-23,NVDA,long,107141.9,0.1914672,1.0
2018-02-26,AAPL,long,106555.65,0.27001319999999995,1.0
2018-02-28,AMD,long,103743.33,-0.16845,1.0
2018-03-01,GOOG,long,98625.8,0.26893079999999997,1.0
2018-03-06,AMD,long,102856.89,0.2825376,1.0
2018-03-08,NVDA,short,109091.39,-0.2101044,1.0
2018-03-09,CRM,long,109812.56,0.355338,1.0
2018-03-12,META,long,107237.11,0.39387120000000003,1.0
2018-03-19,CRM,short,96201.3,-0.2781396,1.0
2018-03-20,NVDA,short,93667.28,-0.4316616,1.0
2018-03-22,AVGO,long,46833.64,0.6141924,1.0
2018-03-22,ADBE,short,46833.64,-0.2835864,1.0
2018-03-27,ADBE,long,46993.96,0.275838,1.0
2018-03-27,AVGO,short,46993.96,-0.33078599999999997,1.0
2018-03-28,NVDA,long,90702.03,0.2640072,1.0
2018-04-02,AVGO,long,86571.8,0.3676644,1.0
2018-04-04,AVGO,long,88794.95,0.6668712,1.0
2018-04-05,AVGO,long,44271.28,0.3245664,1.0
2018-04-05,META,short,44271.28,-0.26132039999999995,1.0
2018-04-06,MSFT,long,85781.02,0.166872,1.0
2018-04-09,AVGO,short,87656.63,-0.1838844,1.0
2018-04-10,AVGO,long,45715.98,0.20647079999999998,1.0
2018-04-10,AMD,short,45715.98,-0.2172048,1.0
2018-04-11,AVGO,short,91261.72,-0.1929684,1.0
2018-04-12,NVDA,long,92527.59,-0.21374279999999998,1.0
2018-04-17,META,long,47661.59,0.19364759999999998,1.0
2018-04-17,GOOG,short,47661.59,-0.164124,1.0
2018-04-19,NVDA,long,47538.96,0.34210919999999995,1.0
2018-04-19,AAPL,short,47538.96,-0.23191199999999998,1.0
2018-04-23,AVGO,long,91364.54,0.2989788,1.0
2018-04-24,MSFT,short,86754.25,-0.2046648,1.0
2018-04-26,GOOG,long,87266.54,0.35062199999999993,1.0
2018-05-02,AAPL,short,85020.18,-0.462588,1.0
2018-05-03,AMD,long,85020.18,0.5667192,1.0
2018-05-04,CRM,short,88062.5,-0.5169672,1.0
2018-05-07,META,long,45230.12,0.4400616,1.0
2018-05-07,NVDA,short,45230.12,-0.32529359999999996,1.0
2018-05-09,ADBE,short,95405.84,-0.3827568,1.0
2018-05-10,AAPL,long,98239.72,0.2541192,1.0
2018-05-11,META,short,97015.81,-0.1829892,1.0
2018-05-16,NVDA,long,47706.49,0.3659664,1.0
2018-05-16,AMD,short,47706.49,-0.2491116,1.0
2018-05-17,CRM,short,95379.7,-0.27229559999999997,1.0
2018-05-23,ADBE,short,94913.46,-0.6416784,1.0
2018-05-24,ADBE,short,94914.23,-0.35138879999999995,1.0
2018-05-25,AMD,long,94914.23,0.33261119999999994,1.0
2018-06-01,AMD,short,101492.31,-0.4289592,1.0
2018-06-04,AVGO,long,104635.5,0.681186,1.0
2018-06-05,AVGO,long,104434.03,0.2828592,1.0
2018-06-07,CRM,long,106596.32,0.33088799999999996,1.0
2018-06-08,META,long,52660.42,0.39971639999999997,1.0
2018-06-08,AAPL,short,52660.42,-0.4607052,1.0
2018-06-14,AVGO,long,114902.28,0.5681027999999999,1.0
2018-06-15,META,long,114318.37,-0.161928,1.0
2018-06-19,AAPL,long,55853.39,0.2424228,1.0
2018-06-19,NVDA,short,55853.39,-0.23784479999999997,1.0
2018-06-20,ADBE,long,112668.14,0.24267719999999998,1.0
2018-06-21,CRM,short,110574.87,-0.24620279999999997,1.0
2018-06-22,NVDA,long,108822.01,0.2789976,1.0
2018-06-29,AVGO,long,104095.22,0.1952664,1.0
2018-07-02,AVGO,long,104873.41,0.4119672,1.0
2018-07-03,AVGO,long,103688.97,0.1942248,1.0
2018-07-10,CRM,long,108462.71,0.4051572,1.0
2018-07-12,AVGO,long,113680.87,1.5372024,1.0
2018-07-13,AVGO,long,107877.8,0.6164664,1.0
2018-07-16,AVGO,long,107801.95,0.35895479999999996,1.0
2018-07-19,AVGO,short,110445.48,-0.7766255999999999,1.0
2018-07-25,AVGO,short,110445.48,-0.5404667999999999,1.0
2018-07-26,META,long,55222.74,1.0667772,1.0
2018-07-26,AAPL,short,55222.74,-0.668454,1.0
2018-07-27,META,long,107352.69,0.541344,1.0
2018-07-31,AMD,short,105948.74,-0.7023492,1.0
2018-08-01,AVGO,long,52691.76,0.3606048,1.0
2018-08-01,AMD,short,52691.76,-0.9343535999999999,1.0
2018-08-02,MSFT,long,54285.91,0.36474599999999996,1.0
2018-08-02,META,short,54285.91,-0.5520972,1.0
2018-08-06,AMD,long,109133.9,0.5213555999999999,1.0
2018-08-08,META,short,111948.09,-0.7848575999999999,1.0
2018-08-09,AAPL,long,53988.49,0.23141040000000002,1.0
2018-08-09,GOOG,short,53988.49,-0.3711276,1.0
2018-08-10,AMD,short,106901.71,-0.5594484,1.0
2018-08-14,NVDA,short,108034.29,-0.3297336,1.0
2018-08-15,META,long,54142.14,0.352122,1.0
2018-08-15,AMD,short,54142.14,-0.2545596,1.0
2018-08-17,NVDA,long,109177.29,0.2919552,1.0
2018-08-23,AMD,short,119625.71,-0.6638339999999999,1.0
2018-08-28,AVGO,long,123584.02,0.637362,1.0
2018-08-29,CRM,short,123611.45,-0.42894479999999996,1.0
2018-08-30,AAPL,short,124556.74,-0.5468388,1.0
2018-08-31,NVDA,long,125912.02,0.6916608,1.0
2018-09-05,NVDA,long,126427.88,0.45968519999999996,1.0
2018-09-06,AAPL,short,120854.89,-0.33869160000000004,1.0
2018-09-07,AMD,short,120854.89,-0.3481644,1.0
2018-09-10,AMD,short,120854.89,-0.8811095999999999,1.0
2018-09-11,AMD,short,120854.89,-0.3102972,1.0
2018-09-13,MSFT,short,120854.89,-0.2300112,1.0
2018-09-14,ADBE,short,120854.89,-0.4066284,1.0
2018-09-17,AVGO,long,120854.89,0.42679079999999997,1.0
2018-09-19,GOOG,long,124238.09,-0.16241399999999998,1.0
2018-09-21,AMD,long,125926.63,0.2060268,1.0
2018-09-24,AMD,short,130711.53,-0.46195559999999997,1.0
2018-09-26,AMD,short,128062.91,-0.9622644,1.0
2018-09-27,META,long,64821.59,0.5834916,1.0
2018-09-27,AMD,short,64821.59,-0.7193039999999999,1.0
2018-10-02,AMD,short,117643.2,-0.45892079999999996,1.0
2018-10-04,AMD,short,117643.2,-0.2167392,1.0
2018-10-05,META,long,58821.6,0.3525492,1.0
2018-10-05,AMD,short,58821.6,-0.5172108,1.0
2018-10-09,AMD,short,119339.49,-1.0260372,1.0
2018-10-16,AMD,short,114615.02,-0.7652892,1.0
2018-10-19,AMD,short,114615.02,-0.3276384,1.0
2018-10-23,AVGO,short,114615.02,-0.331016,1.0
2018-10-24,ADBE,long,118400.4,0.216121,1.0
2018-10-25,AMD,long,121761.54,0.215918,1.0
2018-10-30,NVDA,short,111064.74,-0.18419,1.0
2018-10-31,AAPL,long,54538.11,0.187148,1.0
2018-10-31,NVDA,short,54538.11,-0.400066,1.0
2018-11-01,ADBE,long,54197.62,0.499286,1.0
2018-11-01,AMD,short,54197.62,-1.353415,1.0
2018-11-06,AMD,short,98811.84,-2.0896572,1.0
2018-11-07,NVDA,long,49405.92,0.48381119999999994,1.0
2018-11-07,AMD,short,49405.92,-1.7494163999999999,1.0
2018-11-09,AMD,long,48134.18,0.5734104,1.0
2018-11-09,AAPL,short,48134.18,-0.4345104,1.0
2018-11-15,MSFT,long,48683.54,0.207505,1.0
2018-11-15,NVDA,short,48683.54,-0.235782,1.0
2018-11-19,NVDA,long,54195.81,0.238518,1.0
2018-11-19,META,short,54195.81,-0.178779,1.0
2018-11-21,AAPL,short,101738.87,-0.227151,1.0
2018-11-26,GOOG,long,47783.16,0.183117,1.0
2018-11-26,NVDA,short,47783.16,-0.446321,1.0
2018-11-27,NVDA,short,96069.66,-0.704575,1.0
2018-11-30,NVDA,short,94773.77,-0.9247955999999999,1.0
2018-12-03,META,long,47932.08,0.3086652,1.0
2018-12-03,AMD,short,47932.08,-0.45376439999999996,1.0
2018-12-04,NVDA,long,97437.02,0.419331,1.0
2018-12-06,CRM,long,100532.28,0.409561,1.0
2018-12-10,AVGO,short,96380.84,-0.563119,1.0
2018-12-13,NVDA,long,88568.59,0.167488,1.0
2018-12-14,AMD,long,44711.59,-0.1719768,1.0
2018-12-14,AVGO,short,44711.59,-0.18579040000000002,1.0
2018-12-17,ADBE,long,82754.82,0.1841824,1.0
2018-12-18,AMD,short,88723.4,-0.40576480000000004,1.0
2018-12-20,AVGO,long,91834.42,0.1824096,1.0
2018-12-27,META,short,91452.97,-0.2196224,1.0
2019-01-07,AAPL,long,89530.25,0.15125280000000002,1.0
2019-01-09,CRM,long,45849.36,0.15420640000000002,1.0
2019-01-09,AVGO,short,45849.36,-0.20006480000000001,1.0
2019-01-10,AMD,long,92482.96,-0.17851680000000003,1.0
2019-01-11,AMD,long,47368.32,0.3222184,1.0
2019-01-11,AVGO,short,47368.32,-0.5204728000000001,1.0
2019-01-14,AMD,long,91145.8,0.5396768,1.0
2019-01-18,GOOG,short,96356.89,-0.2276264,1.0
2019-01-23,AMD,short,97389.04,-0.20784,1.0
2019-01-25,AVGO,short,86988.59,-0.1940056,1.0
2019-01-30,AMD,short,93726.56,-0.48730640000000003,1.0
2019-01-31,NVDA,long,88066.38,0.4824648,1.0
2019-02-04,AAPL,long,45982.81,0.397129,1.0
2019-02-04,NVDA,short,45982.81,-0.269992,1.0
2019-02-06,AMD,long,48537.49,0.58909,1.0
2019-02-06,NVDA,short,48537.49,-0.532811,1.0
2019-02-08,AMD,long,88500.93,0.2801928,1.0
2019-02-11,MSFT,short,88105.79,-0.254348,1.0
2019-02-12,AVGO,short,86904.49,-0.410485,1.0
2019-02-14,AMD,short,87560.84,-0.411705,1.0
2019-02-19,MSFT,long,89530.84,0.189042,1.0
2019-02-25,NVDA,long,90486.32,0.264022,1.0
2019-02-26,META,short,89640.96,-0.447186,1.0
2019-03-04,AMD,long,85887.09,0.247285,1.0
2019-03-05,ADBE,long,43209.1,0.492277,1.0
2019-03-05,META,short,43209.1,-0.70374,1.0
2019-03-07,META,short,84757.03,-0.424535,1.0
2019-03-12,ADBE,long,40970.54,0.197831,1.0
2019-03-12,MSFT,short,40970.54,-0.202351,1.0
2019-03-13,META,long,80499.45,0.288929,1.0
2019-03-14,GOOG,long,81582.23,0.306821,1.0
2019-03-20,GOOG,short,76800.68,-0.264615,1.0
2019-03-22,META,short,75607.93,-0.282668,1.0
2019-03-26,AMD,long,36830.52,0.5199336,1.0
2019-03-26,META,short,36830.52,-0.5571132,1.0
2019-03-28,AMD,long,71764.9,0.8782416,1.0
2019-03-29,AMD,long,71555.23,0.6633264,1.0
2019-04-03,AMD,short,81274.37,-0.3347352,1.0
2019-04-04,AMD,short,81468.75,-0.5926163999999999,1.0
2019-04-05,AMD,short,81118.78,-0.31723199999999996,1.0
2019-04-09,AMD,long,81118.78,0.24516599999999997,1.0
