date,asset,position_weight,scaled_weight,constrained_weight,actual_weight
2018-01-02,ADBE,-0.1,-0.2,-0.05,-0.05
2018-01-02,ORCL,0.1,0.2,0.05,0.05
2018-01-02,XOM,0.1,0.2,0.05,0.05
2018-01-02,GOOG,-0.1,-0.2,-0.05,-0.05
2018-01-02,LLY,0.1,0.2,0.05,0.05
2018-01-02,AMD,0.1,0.2,0.05,0.05
2018-01-02,JNJ,0.1,0.2,0.05,0.05
2018-01-02,META,-0.1,-0.2,-0.05,-0.05
2018-01-02,NKE,0.1,0.2,0.05,0.05
2018-01-02,AAPL,-0.1,-0.2,-0.05,-0.05
2018-01-02,INTC,0.1,0.2,0.05,0.05
2018-01-02,CVX,0.1,0.2,0.05,0.05
2018-01-02,ABBV,-0.1,-0.2,-0.05,-0.05
2018-01-02,UNH,-0.1,-0.2,-0.05,-0.05
2018-01-02,COST,-0.1,-0.2,-0.05,-0.05
2018-01-02,WMT,-0.1,-0.2,-0.05,-0.05
2018-01-02,AMZN,-0.1,-0.2,-0.05,-0.05
2018-01-02,NVDA,0.1,0.2,0.05,0.05
2018-01-02,AVGO,0.1,0.2,0.05,0.05
2018-01-02,CRM,-0.1,-0.2,-0.05,-0.05
2018-01-03,ADBE,-0.1,-0.2,-0.025,-0.05
2018-01-03,JPM,0.1,0.2,0.05,0.05
2018-01-03,ORCL,0.1,0.2,0.09999999999999999,0.05
2018-01-03,XOM,0.1,0.2,0.05,0.05
2018-01-03,AAPL,-0.1,-0.2,-0.025,-0.05
2018-01-03,MSFT,-0.1,-0.2,-0.025,-0.025
2018-01-03,CVX,0.1,0.2,0.05,0.05
2018-01-03,ABBV,-0.1,-0.2,-0.1,-0.05
2018-01-03,UNH,0.0,0.0,0.0,-0.05
2018-01-03,COST,-0.1,-0.2,-0.05,-0.05
2018-01-03,WMT,-0.1,-0.2,-0.05,-0.05
2018-01-03,AMZN,-0.1,-0.2,-0.05,-0.05
2018-01-03,AVGO,0.0,0.0,0.0,0.05
2018-01-03,CRM,0.0,0.0,0.0,-0.05
2018-01-03,GOOG,-0.1,-0.2,-0.025,-0.05
2018-01-03,LLY,0.1,0.2,0.016666666666666663,0.05
2018-01-03,AMD,0.1,0.2,0.09999999999999999,0.05
2018-01-03,JNJ,0.1,0.2,0.016666666666666663,0.05
2018-01-03,META,-0.1,-0.2,-0.025,-0.05
2018-01-03,PFE,0.1,0.2,0.016666666666666663,0.016666666666666663
2018-01-03,INTC,0.1,0.2,0.09999999999999999,0.05
2018-01-03,NVDA,-0.1,-0.2,-0.025,0.05
2018-01-03,NKE,0.1,0.2,0.05,0.05
2018-01-04,ADBE,-0.1,-0.2,-0.04000000000000001,-0.05
2018-01-04,JPM,0.0,0.0,0.0,0.05
2018-01-04,ORCL,0.1,0.2,0.0625,0.05
2018-01-04,XOM,0.1,0.2,0.05,0.05
2018-01-04,AAPL,0.0,0.0,0.0,-0.05
2018-01-04,MSFT,-0.1,-0.2,-0.04000000000000001,-0.025
2018-01-04,CVX,0.1,0.2,0.05,0.05
2018-01-04,ABBV,-0.1,-0.2,-0.1,-0.05
2018-01-04,UNH,0.0,0.0,0.0,-0.05
2018-01-04,COST,-0.1,-0.2,-0.05,-0.05
2018-01-04,WMT,-0.1,-0.2,-0.05,-0.05
2018-01-04,AMZN,-0.1,-0.2,-0.05,-0.05
2018-01-04,AVGO,0.1,0.2,0.0625,0.05
2018-01-04,CRM,-0.1,-0.2,-0.04000000000000001,-0.05
2018-01-04,GOOG,-0.1,-0.2,-0.04000000000000001,-0.05
2018-01-04,LLY,0.1,0.2,0.016666666666666663,0.05
2018-01-04,AMD,0.1,0.2,0.0625,0.05
2018-01-04,JNJ,0.1,0.2,0.016666666666666663,0.05
2018-01-04,META,0.0,0.0,0.0,-0.05
2018-01-04,PFE,0.1,0.2,0.016666666666666663,0.016666666666666663
2018-01-04,INTC,0.1,0.2,0.0625,0.05
2018-01-04,BAC,-0.1,-0.2,-0.05,-0.05
2018-01-04,NVDA,-0.1,-0.2,-0.04000000000000001,0.05
2018-01-04,NKE,0.1,0.2,0.05,0.05
2018-01-05,ADBE,-0.1,-0.2,-0.03333333333333334,-0.03333333333333334
2018-01-05,JPM,0.1,0.2,0.05,0.05
2018-01-05,ORCL,0.1,0.2,0.07500000000000001,0.07500000000000001
2018-01-05,XOM,0.1,0.2,0.05,0.05
2018-01-05,AAPL,-0.1,-0.2,-0.03333333333333334,-0.03333333333333334
2018-01-05,MSFT,-0.1,-0.2,-0.03333333333333334,-0.025
2018-01-05,CVX,0.1,0.2,0.05,0.05
2018-01-05,ABBV,-0.1,-0.2,-0.1,-0.1
2018-01-05,WMT,-0.1,-0.2,-0.05,-0.05
2018-01-05,AMZN,-0.1,-0.2,-0.05,-0.05
2018-01-05,AVGO,0.1,0.2,0.07500000000000001,0.07500000000000001
2018-01-05,CRM,-0.1,-0.2,-0.03333333333333334,-0.03333333333333334
2018-01-05,GOOG,-0.1,-0.2,-0.03333333333333334,-0.03333333333333334
2018-01-05,LLY,0.1,0.2,0.016666666666666663,0.016666666666666663
2018-01-05,AMD,0.1,0.2,0.07500000000000001,0.07500000000000001
2018-01-05,JNJ,0.1,0.2,0.016666666666666663,0.016666666666666663
2018-01-05,PFE,0.1,0.2,0.016666666666666663,0.016666666666666663
2018-01-05,INTC,0.1,0.2,0.07500000000000001,0.07500000000000001
2018-01-05,BAC,0.0,0.0,0.0,-0.05
2018-01-05,NVDA,-0.1,-0.2,-0.03333333333333334,-0.03333333333333334
