feature,ic_1d,ic_2d,ic_3d,ic_5d,ic_10d,ic_15d,ic_20d
f_trend,-0.02348784498822438,-0.03108049860811769,-0.03447653534703082,-0.04761564373605162,-0.073109107006681,-0.08705596290353643,-0.1051947854570269
f_regional,,,,,,,
f_global,,,,,,,
f_social,,,,,,,
ret_5d,-0.02518101473923976,-0.019761446503889803,-0.02224244617976756,-0.008243994769499625,-0.008051621184858434,-0.02092687881021226,-0.032509121622568665
ret_10d,-0.013055789690261662,0.009940045152757662,0.018576817988196406,0.011650955871740677,-0.0009787671937947354,-0.011826212621874527,-0.03490235831839593
ret_20d,-0.013571607371543089,0.005722256511540285,0.0051479717933603725,-0.002834051502519511,-0.040694245435999706,-0.06415588700387276,-0.07976981244928254
ret_60d,-0.016823391248231446,-0.013528848654057707,-0.01530208115889185,-0.026868483654693652,-0.050646758028931364,-0.06380616208809653,-0.08099625569425134
rolling_vol_5,0.019521783418011838,0.033198972748696425,0.028288851803093682,0.03443911965236086,0.05356343147437171,0.05389428126484449,0.07801995098240391
rolling_vol_10,0.018890219303088717,0.026652098522003637,0.021692671159287732,0.021005174861461202,0.034098526632198,0.047524372641330095,0.07235941191939779
rolling_vol_20,0.009695197295717018,0.015083884081317767,0.011151573969289662,0.009377323162320357,0.03699835996908133,0.04616146758600752,0.06422072961898352
rolling_vol_60,0.013038222625578466,0.017648045576096217,0.014070876686055795,0.014899104517128543,0.05759586121356058,0.08627004997085608,0.1204820190782773
vol_of_vol_20,-0.00591167088769622,-0.005714739583573544,-0.01934709163260607,-0.028498264154280684,-0.023801513059495162,-0.013666097949541432,0.010755300569030438
jump_indicator,0.017472056450508356,-0.004983197090342213,-0.005888061924931135,-0.02322690032933673,-2.1782325359596316e-05,-0.02244126705473632,-0.006232660628388733
realised_vol_20d,0.03217391296465508,0.05185614529742542,0.05512170219443546,0.06820976112195962,0.12175007771734607,0.14258878589960253,0.17062767808044857
vol_regime_ratio,0.005452031013656279,0.013269524538104765,0.009350418417688801,0.007853493888340918,0.03597562349056893,0.042617467594101725,0.056458878596365704
is_high_vol_stock_regime,-0.011027416918770776,-0.008405610915466459,-0.018825614971229084,-0.03004394744275183,-0.019268214067675517,-0.007821018317239883,0.02178968807613292
relative_volume,-0.015666209646413434,-0.03138862518934187,-0.03282778967924717,-0.03841695854462849,-0.057230655846165046,-0.04959912371597224,-0.020938076157977152
volume_zscore,-0.016853917830031335,-0.03599559478669949,-0.037396367670888386,-0.04482448769004368,-0.06483883679996898,-0.053128993137141714,-0.025335008075289184
volume_surprise,-0.016853917830031335,-0.03599559478669949,-0.037396367670888386,-0.04482448769004368,-0.06483883679996898,-0.053128993137141714,-0.025335008075289184
rolling_corr_market_20,0.00812665170737718,0.008815115630760479,0.008652871308130401,0.015928399965848113,0.03947924161486928,0.05020084095296864,0.060504373846020636
trend_score,-0.021226566912562427,-0.023640801541679232,-0.025992974128425887,-0.03474402170443193,-0.05451765933940788,-0.06810934999961366,-0.08757889659681797
confidence_mult,-0.025689545059107498,-0.04193542935832542,-0.04391281012037704,-0.05823772670243895,-0.10629387729714337,-0.13006814264999983,-0.156387025257719
momentum_3m,-0.01614229193454618,-0.01885359412164886,-0.020053929750783996,-0.03137816235703463,-0.04842395414221524,-0.06334139564834802,-0.08508223121017694
momentum_6m,-0.0203285271221303,-0.025924847201711346,-0.02785339049328088,-0.03519351878391038,-0.05647260359718654,-0.06736286913932642,-0.08444395048454566
ma_crossover,-0.01686198279047445,-0.03230686707848699,-0.03807168276792337,-0.05069536862969332,-0.07115968904432389,-0.08125421027355548,-0.08786810837862379
cs_momentum_raw,-0.009680040401361124,-0.018227736423107956,-0.018411444216936943,-0.0168125582661195,0.001545224735283098,0.002108482535790575,0.004500025108394418
daily_return,-0.07982503598074431,-0.031313414568775635,-0.02525691882440382,-0.026825065211553582,-0.015662415605388665,-0.023197377191722025,-0.01988471820064687
sector_relative_mom_20d,0.0035343604382269593,0.015099368701637705,0.01743947388831955,0.022311101704494116,0.022657272980372185,0.024512511370039534,0.019706928161327086
sector_relative_strength,0.0035343604382269593,0.015099368701637705,0.01743947388831955,0.022311101704494116,0.022657272980372185,0.024512511370039534,0.019706928161327086
sector_relative_mom_60d,0.012116083993583241,0.019250878875730685,0.021693702234198347,0.023329952095483192,0.032146656753182394,0.04447625584894569,0.054721197195903556
cs_momentum_percentile,0.005737090436893226,0.008117110467595176,0.00903918297785758,0.008797434834509446,0.014567589131144252,0.019835552102835715,0.02093235662879863
is_high_vol_regime,-0.0006911842323345968,0.006810255071796444,0.005993701540537014,0.028402241223994037,0.04672511227574654,0.071256842174428,0.09486755058433477
expected_round_trip_cost_frac,,,,,,,
spy_forward_5d,,,,,,,
f_trend_cs_z,0.012727925760601513,0.013657997044440042,0.016262624707222985,0.01827583497259845,0.028735180657308165,0.038568770741780646,0.04428737937394041
f_regional_cs_z,,,,,,,
f_global_cs_z,,,,,,,
f_social_cs_z,,,,,,,
ret_5d_cs_z,0.004018343786966707,0.002392615705965059,-0.0018884122178105453,0.00017045358160024018,-0.012832553129015304,0.0038593627852827493,0.016496262950113996
ret_10d_cs_z,-0.007955497610394961,-0.00828859093762939,-0.010310047971570178,-0.012856170556314672,-0.011893926026572195,0.009943099406756757,0.02052122731830148
ret_20d_cs_z,0.001051121550408775,0.008539507433102706,0.009761460522108108,0.015541504878722944,0.019871038508225664,0.026733281032933594,0.03138179827180437
ret_60d_cs_z,0.009043116461543252,0.01702668132750284,0.021346909931720157,0.027193086641546186,0.04481459527606831,0.05999655073592891,0.07234156383348667
rolling_vol_5_cs_z,-0.008786286134490581,-0.005924919750108064,-0.007264284353344642,-0.009116437298927554,-0.001291701936997569,-0.014902115328369605,-0.008354582229168737
rolling_vol_10_cs_z,-0.0016906267220226936,-2.0660095204403435e-05,-0.00041452644705799416,-0.00812092546161133,-0.01949897968041318,-0.02354531643231209,-0.01427020633413659
rolling_vol_20_cs_z,-0.008143369744861179,-0.009691400864169017,-0.011313453316945282,-0.019632370863983915,-0.02194518343472897,-0.02430299208579711,-0.020104499726143928
