ticker,mu_ann,sigma_ann,"P(>2%, 20d)","P(>5%, 20d)",Coverage_95
NVDA,1.2607915266833944,0.46716595032624497,0.701,0.634,0.931285367825384
INTC,0.6767646604879889,0.38328893335344816,0.614,0.509,0.9490703314470493
TSLA,0.7905442020748623,0.5429284854309687,0.596,0.515,0.8852061438965239
F,0.10727647022635178,0.3630314878644593,0.44,0.336,0.910266774454325
NFLX,0.5644334911001387,0.37022737251394094,0.589,0.466,0.9490703314470493
AMZN,0.6189640133718918,0.32885975563224884,0.617,0.49,0.9304769603880356
PFE,-0.5678682031416743,0.2337646537126826,0.159,0.087,0.9086499595796281
AAPL,0.42365265524805884,0.203647018536057,0.596,0.383,0.9539207760711399
T,-0.08233211218591854,0.2735228825216757,0.349,0.231,0.9288601455133387
BAC,0.027093702110893847,0.2678061839019996,0.396,0.267,0.9264349232012935
CMCSA,0.23634315976639364,0.23871325818149183,0.485,0.327,0.9531123686337915
WBD,0.24918265533503528,0.5489187744596361,0.475,0.398,0.9021827000808408
AMD,0.8569319197692841,0.4632928605192995,0.628,0.542,0.9377526273241714
MU,0.5523769727539913,0.3580119562708846,0.589,0.464,0.9611964430072757
GOOGL,0.48484591088622236,0.30394629011602714,0.579,0.44,0.9555375909458367
MSFT,0.4721120371651921,0.25011763954820804,0.597,0.43,0.9611964430072757
HBAN,-0.09445212515667378,0.3750088715996162,0.375,0.293,0.936944219886823
SMCI,1.2603906316714635,0.7376117750014617,0.622,0.565,0.9256265157639451
AVGO,0.7171462218848141,0.31698628720511124,0.652,0.525,0.9353274050121261
VZ,-0.029017866074707452,0.2335516472014728,0.356,0.219,0.9345189975747777
ORCL,0.2719040555035612,0.3088742332073897,0.497,0.358,0.9409862570735651
WMT,0.10956282221616727,0.1582589350640166,0.396,0.183,0.9555375909458367
HOOD,0.5035263280895337,0.4617964580606864,0.546,0.45,0.9526627218934911
CCL,0.8826139841926786,0.4930793617553834,0.624,0.542,0.8981406628940987
CSCO,0.0707334576137235,0.20640768434759568,0.392,0.228,0.9320937752627324
PCG,0.10949803164809499,0.2066820164167929,0.419,0.245,0.9684721099434115
GOOG,0.48858139258234656,0.3061582421217431,0.581,0.44,0.9571544058205336
PYPL,-0.095295423727401,0.3734518264397995,0.375,0.289,0.9191592562651576
NCLH,0.5012245079900172,0.49108688395148054,0.538,0.449,0.9167340339531124
XOM,-0.0806733452343445,0.2511863727485222,0.345,0.218,0.9232012934518997
HPE,0.08669018767854583,0.2849339676042374,0.425,0.302,0.9514955537590946
FCX,0.11672647615604555,0.35100180332423225,0.441,0.335,0.9377526273241714
SLB,-0.010703419497492067,0.33560818996641534,0.398,0.298,0.910266774454325
CMG,0.5063871129455411,0.258492332031707,0.606,0.441,0.9110751818916734
KO,-0.0757913521192545,0.13336964305441615,0.249,0.079,0.9482619240097009
HPQ,0.12553983231281207,0.24975967549647382,0.437,0.29,0.9409862570735651
NKE,-0.057363105958054286,0.2719624294093105,0.358,0.239,0.9361358124494745
TTD,0.5074959812715023,0.5392528932988362,0.531,0.45,0.9563459983831851
SW,0.0891298410915812,0.41741647759474554,0.439,0.341,0.9652384801940178
KEY,-0.1753529050767469,0.5859898671693795,0.388,0.33,0.936944219886823
WFC,0.17980547459252244,0.2766241072603852,0.458,0.326,0.931285367825384
