simulation_id,method,final_equity
1,execution_delay,101749.53999999998
2,execution_delay,101763.47000000002
3,execution_delay,97941.12
4,execution_delay,101763.47000000002
5,shuffle,101763.51
6,execution_delay,101749.53999999998
7,bootstrap,98855.21
8,bootstrap,98632.1
9,execution_delay,97941.12
10,execution_delay,101763.47000000002
11,bootstrap,107900.45
12,execution_delay,101763.47000000002
13,signal_noise,100340.85000000002
14,shuffle,101763.51
15,execution_delay,101763.47000000002
16,bootstrap,96827.58
17,shuffle,101763.51
18,shuffle,101763.51
19,bootstrap,98017.97
20,shuffle,101763.51
21,bootstrap,103305.65000000001
22,shuffle,101763.51
23,signal_noise,101293.17999999998
24,signal_noise,100326.35
25,bootstrap,99582.93
26,execution_delay,97941.12
27,bootstrap,103040.72
28,shuffle,101763.51
29,shuffle,101763.51
30,shuffle,101763.51
31,bootstrap,99796.25
32,bootstrap,105474.53
33,bootstrap,99904.33
34,signal_noise,99010.64
35,execution_delay,101749.53999999998
36,bootstrap,103854.93
37,execution_delay,97941.12
38,signal_noise,100709.56
39,signal_noise,102636.28
40,bootstrap,106033.77999999998
41,bootstrap,108806.98
42,signal_noise,101179.47999999998
43,bootstrap,105275.71
44,shuffle,101763.51
45,bootstrap,102226.55999999998
46,signal_noise,102037.79
47,shuffle,101763.51
48,bootstrap,104167.67999999998
49,shuffle,101763.51
50,execution_delay,101749.53999999998
