asset,rank_autocorr,decile_retention,n_obs
AAPL,0.7894400236006464,0.3255968169761273,1509
ABBV,0.8495984080071184,0.3660477453580902,1509
ADBE,0.7882342204295597,0.3196286472148541,1509
AMD,0.7191979763703665,0.33090185676392575,1509
AMZN,0.8263075301349038,0.3547745358090186,1509
AVGO,0.7891874267568191,0.32427055702917773,1509
BAC,0.7874149114504825,0.3202917771883289,1509
COST,0.8030577843961444,0.3295755968169761,1509
CRM,0.7847451923621125,0.2990716180371353,1509
CVX,0.8050198417283742,0.3322281167108753,1509
GOOG,0.7519115173629385,0.29045092838196285,1509
INTC,0.8104608832769771,0.3740053050397878,1509
JNJ,0.7813711515466123,0.3302387267904509,1509
JPM,0.8216851882681943,0.3129973474801061,1509
LLY,0.8544882580770561,0.3958885941644562,1509
META,0.7975735904771537,0.3541114058355438,1509
MSFT,0.7561406234118336,0.3129973474801061,1509
NKE,0.7799017419374545,0.3149867374005305,1509
NVDA,0.7802759103551983,0.366710875331565,1509
ORCL,0.7808320622543292,0.3010610079575597,1509
PFE,0.8112863519235282,0.3746684350132626,1509
UNH,0.7971174817311512,0.3096816976127321,1509
WMT,0.7954498132073613,0.3209549071618037,1509
XOM,0.8420003016759028,0.34748010610079577,1509
