run_id,high_conviction_threshold,portfolio_top_k,crisis_portfolio_top_k,normal_exposure,crisis_exposure,vol_kill_switch_cut_factor,net_sharpe,cagr,max_drawdown,crisis_sharpe,trades_count,status
c2e32302b9af,0.5,4,3,0.8,0.2,0.4,0.707,0.0356,-0.0679,0.0,803,ok
c16c7c6ed2a3,0.5,4,3,0.8,0.2,0.5,0.737,0.0358,-0.1024,1.8748348192867141,690,ok
c2b2175f2e1c,0.5,4,3,0.8,0.2,0.6,0.794,0.0409,-0.0675,0.0,805,ok
54964240f0f8,0.5,4,3,0.8,0.25,0.4,0.802,0.0382,-0.0834,1.74533360290261,692,ok
a5d8a5130a60,0.5,4,3,0.8,0.25,0.5,0.936,0.0433,-0.0727,-3.478928615477512,657,ok
b6e6c161fa07,0.5,4,3,0.8,0.25,0.6,0.955,0.0443,-0.0719,-3.492478994810031,657,ok
50c48eb45cc2,0.5,4,3,0.8,0.3,0.4,0.833,0.0418,-0.0682,0.0,806,ok
a028e7cde61f,0.5,4,3,0.8,0.3,0.5,0.857,0.0434,-0.0688,0.0,809,ok
f9ef7886823a,0.5,4,3,0.8,0.3,0.6,0.956,0.0444,-0.07150000000000001,-3.527213030510428,657,ok
b100fc39bef7,0.5,4,3,1.0,0.2,0.4,0.825,0.0368,-0.0664,-3.2534043111691076,594,ok
