ticker,dollar_adv,first_date,last_date
NVDA,35261765715.00671,2024-12-31,2026-03-25
TSLA,23868767877.651978,2024-12-31,2026-03-25
MU,17427586348.562927,2024-12-31,2026-03-25
MSFT,13183492447.760773,2024-12-31,2026-03-25
SNDK,12322538696.104431,2025-02-13,2026-03-25
AAPL,10608712158.676453,2024-12-31,2026-03-25
AVGO,9908359363.72879,2024-12-31,2026-03-25
AMZN,9576761521.57135,2024-12-31,2026-03-25
GOOGL,9076677071.604156,2024-12-31,2026-03-25
META,8105336901.5008545,2024-12-31,2026-03-25
PLTR,7513976807.133865,2024-12-31,2026-03-25
AMD,6594579524.796219,2024-12-31,2026-03-25
GOOG,6099468499.44931,2024-12-31,2026-03-25
LITE,5277546325.625916,2024-12-31,2026-03-25
NFLX,4954362414.979515,2024-12-31,2026-03-25
ORCL,4588846137.76474,2024-12-31,2026-03-25
INTC,3848096075.424137,2024-12-31,2026-03-25
XOM,3770857301.859665,2024-12-31,2026-03-25
JPM,3300157507.505188,2024-12-31,2026-03-25
VRT,3048637727.106247,2024-12-31,2026-03-25
CVX,2936350197.5481415,2024-12-31,2026-03-25
CRM,2822538617.7900696,2024-12-31,2026-03-25
LLY,2792942608.7216187,2024-12-31,2026-03-25
COHR,2749063091.793442,2024-12-31,2026-03-25
WMT,2680370260.994339,2024-12-31,2026-03-25
WDC,2549047551.088867,2024-12-31,2026-03-25
COIN,2535467727.7241516,2024-12-31,2026-03-25
UNH,2505109188.3685303,2024-12-31,2026-03-25
LRCX,2480940992.4134064,2024-12-31,2026-03-25
AMAT,2461279048.9268494,2024-12-31,2026-03-25
APP,2330491867.203369,2024-12-31,2026-03-25
BAC,2283079762.4489975,2024-12-31,2026-03-25
V,2281863513.5653687,2024-12-31,2026-03-25
GEV,2264249779.2611694,2024-12-31,2026-03-25
GS,2177801790.6710815,2024-12-31,2026-03-25
HOOD,2046668330.0875092,2024-12-31,2026-03-25
JNJ,2008108920.650406,2024-12-31,2026-03-25
CAT,2003275142.0083618,2024-12-31,2026-03-25
NOW,1984553275.9201431,2024-12-31,2026-03-25
GLW,1950028230.8210754,2024-12-31,2026-03-25
INTU,1933499296.3032532,2024-12-31,2026-03-25
CSCO,1914984746.593361,2024-12-31,2026-03-25
COST,1851365724.4262695,2024-12-31,2026-03-25
BKNG,1809054156.4453125,2024-12-31,2026-03-25
CRWD,1799360153.9239502,2024-12-31,2026-03-25
C,1797703548.927765,2024-12-31,2026-03-25
PG,1772832620.353241,2024-12-31,2026-03-25
MA,1758657264.559021,2024-12-31,2026-03-25
ADBE,1740147037.1614838,2024-12-31,2026-03-25
ACN,1739690917.5683594,2024-12-31,2026-03-25
QCOM,1739210320.7619476,2024-12-31,2026-03-25
GE,1720864226.1245728,2024-12-31,2026-03-25
DELL,1690049280.2815247,2024-12-31,2026-03-25
ABBV,1683900707.7285767,2024-12-31,2026-03-25
WFC,1606251599.910736,2024-12-31,2026-03-25
BA,1604140238.0730438,2024-12-31,2026-03-25
KLAC,1565010994.2736816,2024-12-31,2026-03-25
IBM,1486529614.5729065,2024-12-31,2026-03-25
HD,1483559111.4463806,2024-12-31,2026-03-25
COP,1467379450.2859497,2024-12-31,2026-03-25
STX,1458798641.8214417,2024-12-31,2026-03-25
UBER,1421728497.3307037,2024-12-31,2026-03-25
LIN,1409532098.7469482,2024-12-31,2026-03-25
VZ,1386590888.6621666,2024-12-31,2026-03-25
APH,1378988724.8749542,2024-12-31,2026-03-25
ABT,1371615302.3744202,2024-12-31,2026-03-25
NEM,1369153366.7342758,2024-12-31,2026-03-25
AXP,1347290483.521881,2024-12-31,2026-03-25
KO,1346678365.609169,2024-12-31,2026-03-25
ADI,1333743193.8398743,2024-12-31,2026-03-25
PANW,1310161937.058487,2024-12-31,2026-03-25
TXN,1305615470.9439087,2024-12-31,2026-03-25
RTX,1300140500.8988953,2024-12-31,2026-03-25
BX,1287907807.4113083,2024-12-31,2026-03-25
T,1279568894.6500778,2024-12-31,2026-03-25
MRK,1277629641.653061,2024-12-31,2026-03-25
MS,1265591216.9606018,2024-12-31,2026-03-25
CIEN,1239976365.7104492,2024-12-31,2026-03-25
LMT,1221325917.8485107,2024-12-31,2026-03-25
OXY,1204296974.975586,2024-12-31,2026-03-25
DIS,1200646282.9610825,2024-12-31,2026-03-25
FCX,1196943613.5573769,2024-12-31,2026-03-25
TMUS,1187675399.9217224,2024-12-31,2026-03-25
SMCI,1155024558.347807,2024-12-31,2026-03-25
